授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
African Societies and Development,目黒 紀夫,准教授,2,選択,3rd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D4401.html
American CultureⅠ,ゴーマン マイケル,教授,2,選択,Second year and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A2902.html
American CultureⅡ,ゴーマン マイケル,教授,2,選択,Second year and above,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A3002.html
American Literature and CultureⅠ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51351901.html
American Literature and CultureⅡ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51352001.html
Communication in EnglishⅠ,Marc Williams,非常勤講師,1,選択,3rd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B3102.html
Communication in EnglishⅡ,Marc Williams,非常勤講師,1,選択,3rd year students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B3202.html
Contemporary Political Issues,秦野 貴光,講師,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C4801.html
Cross-cultural Language and Communication Ⅰ,カーソン ルーク,教授,2,選択,2nd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B1601.html
Cross-cultural Language and Communication Ⅱ,カーソン ルーク,教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B1701.html
Cross-cultural Psychology and CommunicationⅠ,カーソン ルーク,教授,2,選択,Graduate Students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51352301.html
Cross-cultural Psychology and CommunicationⅡ,カーソン ルーク,教授,2,選択,Graduate Students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51352401.html
East Asian Cultures and Societies,飯島 典子,准教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6601.html
Exploring Japanese Society,湯浅 正恵,教授,2,選択,Exchange students and 3rd-year students and above (at least 600 TOEIC score is required).,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A7101.html
Future StudiesⅠ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6801.html
Future StudiesⅡ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 3rd year students and above and exchange students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6901.html
Gesellschaft in Deutschland,卜部 匡司,教授,2,選択,3rd year students and above and exchange students,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D3801.html
Hiroshima and Atomic Bombing in Media,井上 泰浩,教授,2,選択,Any exchange students. Second year or above in International Studies.,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6701.html
History of Japanese Politics and Diplomacy,武田 悠,准教授,2,選択,"2nd year students and above, and exchange students",後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C5801.html
International Business,アリフ アザム ヌルハイザル,准教授,2,選択,2nd year and above and exchange students,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114E2701.html
International Commerce,寺井 里沙,准教授,2,選択,1st year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114E2801.html
Introduction to Management,山﨑 雅夫,講師,2,選択,2nd year students and above,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114E2901.html
Learning ILIs,太田 育子,教授,2,選択,2nd year students and above,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C0401.html
Modern Japanese Studies,ヴェール ウルリケ,教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A3401.html
Peace and Conflict Studiesⅰ,古澤 嘉朗,准教授,1,選択,2nd year students and above,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C6001.html
Peace and Conflict Studiesⅱ,古澤 嘉朗,准教授,1,選択,2nd-year students and above,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C6101.html
Premodern Japanese Studies,山口 えり,准教授,1,選択,2nd year students and above and exchange students,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A7001.html
Special Lecture in British and American LiteratureⅠ,ゴーマン マイケル,教授,2,選択,Third year and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B2702.html
Special Lecture in British and American LiteratureⅡ,ゴーマン マイケル,教授,2,選択,Third year and above,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B2802.html
Études de la société française,大場 静枝,准教授,2,選択,３年次生（L3 et L4）,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114D3701.html
「ヒロシマ」を考える,四條 知恵,准教授,2,選択,1・2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00180901.html
ひろしま論,渡辺 智恵,教授,2,選択,１・２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00180101.html
アナログ素子・回路特論,福島 勝,准教授,2,選択,"1, 2 年次",後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68414401.html
アフリカ文化論,田川 玄,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51342001.html
アフリカ研究Ⅰ,田川 玄,教授,2,選択,１年以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A4101.html
アフリカ研究Ⅱ－ⅰ,目黒 紀夫,准教授,1,選択,2年次以上,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6101.html
アフリカ研究Ⅱ－ⅱ,目黒 紀夫,准教授,1,選択,2年次以上,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A6201.html
アフリカ社会論,田川 玄,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51341901.html
アメリカ政治論ⅰ,長 史隆,講師,1,選択,２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C5301.html
アメリカ政治論ⅱ,長 史隆,講師,1,選択,２年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114C5401.html
アラビア語Ⅰ,田浪 亜央江,准教授,2,選択,1年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00220901.html
アラビア語Ⅱ,佐藤 道雄,非常勤講師,2,選択,1年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00221001.html
アラビア語Ⅲ,佐藤 道雄,非常勤講師,2,選択,2年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222201.html
アラビア語Ⅳ,田浪 亜央江,准教授,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222301.html
アーティスト・セルフマネージメント概論,菅 亮平,講師,2,選択,2・3年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_30317201.html
アートマネージメント概論,石松 紀子,准教授,2,選択,２年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_30313801.html
イギリスの文学と文化Ⅰ,原 雅樹,講師,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B2001.html
イギリスの文学と文化Ⅱ,原 雅樹,講師,2,選択,2年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114B2101.html
イギリス文化論Ⅰ,原 雅樹,講師,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A2701.html
イギリス文化論Ⅱ,原 雅樹,講師,2,選択,2年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A2801.html
イギリス文学・文化論Ⅰ,原 雅樹,講師,2,選択,大学院1年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51351501.html
イギリス文学・文化論Ⅱ,原 雅樹,講師,2,選択,大学院1年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51351601.html
イタリア語Ⅰ,佐藤 りえこ,非常勤講師,2,選択,一年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222401.html
イタリア語Ⅱ,佐藤 りえこ,非常勤講師,2,選択,１年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222502.html
イタリア語Ⅲ,コンティ エマヌエレ,非常勤講師,2,選択,2年次以上,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222601.html
イタリア語Ⅳ,コンティ エマヌエレ,非常勤講師,2,選択,2年次以上,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00222701.html
インターンシップⅠ,永山 忍,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_66420601.html
インターンシップⅠ,三村 和史,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_67420601.html
インターンシップⅠ,小野 貴彦,教授,2,選択,１、２年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420601.html
インターンシップⅡ,永山 忍,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_66420701.html
インターンシップⅡ,三村 和史,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_67420701.html
インターンシップⅡ,小野 貴彦,教授,2,選択,１、２年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420701.html
インターンシップ・ベーシック,西 正博,教授,1,選択,１，２年生（全学部）,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00200901.html
インテリジェント制御特論,小嵜 貴弘,准教授,2,選択,１，２年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68410301.html
エスニシティと宗教Ⅰ,田浪 亜央江,准教授,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A1101.html
エスニシティと宗教Ⅱ,田浪 亜央江,准教授,2,選択,3年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A1201.html
オペレーティングシステム,弘中 哲夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_26431501.html
オペレーティングシステム,岩根 典之,准教授,2,選択,２年次以上,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27430701.html
オペレーティングシステム,中田 明夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28450501.html
オペレーティングシステム,弘中 哲夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_29491901.html
オートマトンと形式言語,松原 行宏,教授,2,必須,2年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_27460101.html
キャリアサポートベーシック,西 正博,教授,1,選択,３年,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00200201.html
キャリアサポートベーシックＡ,西 正博,教授,1,選択,２，３年生（全学年）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_00200301.html
